变化名称,变化阶段,要素类型,变化置信度,发现变化时间,是否需要测绘,3613规则,要素地址,线索信息
嵊州屠家埠大桥完成修缮恢复正常通车,通车,桥梁,高,2017-10-24,是,三个月更新,绍兴市嵊州市,新闻
上虞区百悬线大中修工程顺利完工,完工,道路,高,2017-08-11,是,三个月更新,绍兴市上虞区,新闻
全省第一个国道高架正式通车,通车,道路,高,2017-07-27,是,三个月更新,绍兴市,新闻
上虞百夹线主体工程完工，全线正式通车,通车,道路,高,2017-07-14,是,三个月更新,绍兴市上虞区,新闻
嵊州市普田大道延伸段至浙锻路连接线工程通过交工验收,交工,道路,高,2017-07-13,是,三个月更新,绍兴市,新闻
新昌县委书记邵全卯视察常台高速公路新昌南互通立交工程近况,交工,道路,低,2017-07-07,否,三个月更新,绍兴市,新闻
嵊州逵溪桥建成通车,通车,桥梁,高,2017-06-05,是,三个月更新,绍兴市嵊州市,新闻
杭甬运河绍兴段航道改造工程顺利通过竣工验收,竣工,航道,高,2017-05-22,是,三个月更新,绍兴市,新闻
杭甬运河上虞段竣工初步验收通过,竣工,航道,高,2017-05-17,是,三个月更新,绍兴市,新闻
嵊州普田大道至浙锻路快速通道全线试通车,通车,道路,高,2017-04-17,是,三个月更新,绍兴市嵊州市,新闻
问越路完工在即,完工,道路,高,2017-03-16,是,三个月更新,绍兴市,新闻
绍大线诸暨双桥至陶湖段改建工程通过竣工验收,竣工,桥梁,高,2017-02-15,是,三个月更新,绍兴市,新闻
31省道延伸线金沙岭隧道工程交工验收,交工,道路,高,2017-01-20,是,三个月更新,绍兴市嵊州市,新闻
诸暨枫桥镇新泽湖桥及接线工程通过交工验收,交工,桥梁,高,2017-01-12,是,三个月更新,绍兴市诸暨市,新闻
嵊州黄泽江大桥完成修复工作恢复正常通车,通车,桥梁,高,2017-01-03,是,三个月更新,绍兴市嵊州市,新闻
柯桥区智能化公交监管系统竣工验收,竣工,其他,低,2016-12-29,否,三个月更新,绍兴市柯桥区,新闻
03省道东复线诸暨江藻至王家井段12月24日正式通车,通车,道路,高,2016-12-22,是,三个月更新,绍兴市,新闻
县道尹大线独畈桥维修工程提前完工通车,通车,桥梁,高,2016-12-16,是,三个月更新,绍兴市,新闻
上虞五五线大中修工程主体部分加快建设有望年底前完工,完工,道路,高,2016-12-15,是,三个月更新,绍兴市上虞区,新闻
嵊州浙锻路104国道以东主车道通车,通车,道路,高,2016-07-26,是,三个月更新,绍兴市嵊州市,新闻
甬金高速黄泽互通两侧绿化提升工程顺利完工,完工,道路,低,2016-07-19,否,三个月更新,绍兴市,新闻
31省道王家湖至五泄段公路改建工程将于明日正式通车,通车,道路,高,2016-06-24,是,三个月更新,绍兴市,新闻
诸暨璜山镇中市桥工程顺利通过交工验收,交工,桥梁,高,2016-06-22,是,三个月更新,绍兴市诸暨市,新闻
31省道诸暨王家湖至五泄段改建工程顺利通过交工验收,交工,道路,高,2016-06-15,是,三个月更新,绍兴市诸暨市,新闻
新昌梅澄公路起点至老澄潭大桥段实现半幅通车,通车,道路,高,2016-05-30,是,三个月更新,绍兴市新昌县,新闻
2015年上虞区农村公路提升工程 丁宅 丰惠-庙湾 竣工验收,竣工,道路,高,2016-05-19,是,三个月更新,绍兴市上虞区,新闻
嵊州黄泽新桥完成改造恢复通车,通车,桥梁,高,2016-04-11,是,三个月更新,绍兴市嵊州市,新闻
柯桥区骆穿线龙东至穿山岙改造工程通过竣工验收,竣工,道路,高,2016-04-05,是,三个月更新,绍兴市柯桥区,新闻
常台高速新增新昌南互通立交工程可行性研究报告通过评审,交工,道路,高,2016-04-01,是,三个月更新,绍兴市新昌县,新闻
杭甬运河绍兴段航道建设工程竣工财务决算获浙江省交通厅批复,竣工,航道,高,2016-03-29,是,三个月更新,绍兴市,新闻
柯桥区县道分后线路面大修工程顺利通过竣工验收,竣工,道路,高,2016-03-25,是,三个月更新,绍兴市柯桥区,新闻
2014年诸暨市枫店线文明公路创建工程顺利通过交工验收,交工,道路,高,2016-02-04,是,三个月更新,绍兴市诸暨市,新闻
柯桥区平水大道延伸工程顺利通过交工验收,交工,道路,高,2016-02-03,是,三个月更新,绍兴市柯桥区,新闻
上虞会蒋公路全线通车,通车,道路,高,2016-02-02,是,三个月更新,绍兴市上虞区,新闻
诸暨市东和乡姚邵坂—新王公路工程通过交工验收,交工,道路,高,2016-02-01,是,三个月更新,绍兴市诸暨市,新闻